Href,Case_Study,Quote
https://www.getdbt.com/success-stories/cond%C3%A9-nast/,Condé Nast,"We could see that our data architecture was far too complex,” explained Nana Essuman, Senior Director of Data Engineering at Condé Nast."
https://www.getdbt.com/success-stories/cond%C3%A9-nast/,Condé Nast,"It prevented collaboration and led to an overall mistrust of data across our data engineering, data science, and data warehouse teams. Even more significantly, it was preventing us from scaling to the degree that we needed as we prepared to become a truly global organization.”"
https://www.getdbt.com/success-stories/cond%C3%A9-nast/,Condé Nast,"It was a very easy pitch to convince my VP that using dbt Cloud alongside Databricks Lakehouse was the right move for us,” recalled Essuman."
https://www.getdbt.com/success-stories/cond%C3%A9-nast/,Condé Nast,"We could see how simple it was to integrate dbt into our other systems. And dbt had just launched dbt Cloud, which fit perfectly into our organizational strategy toward greater scalability.”"
https://www.getdbt.com/success-stories/cond%C3%A9-nast/,Condé Nast,"With dbt and Databricks, our data scientists who build personalization models and churn models are finally using the same data sets that our marketers and analysts use for activation and business insights,” reported Essuman."
https://www.getdbt.com/success-stories/cond%C3%A9-nast/,Condé Nast,This has dramatically increased our productivity while decreasing dependency on data engineers. It’s also much easier to monitor and control the costs of our entire data infrastructure because it’s all running on one platform.”
https://www.getdbt.com/success-stories/cond%C3%A9-nast/,Condé Nast,"During our data integration sprints in the past, a data warehouse engineer would have to build a data set, store it in S3, and then work with a data engineer to make that table available in Presto,” explained Essuman."
https://www.getdbt.com/success-stories/cond%C3%A9-nast/,Condé Nast,Evergreen (Databricks and AWS) plus dbt Cloud has eliminated this work and is saving us 16 hours per project.”
https://www.getdbt.com/success-stories/cond%C3%A9-nast/,Condé Nast,"Now that we have an end-to-end view of our data models, we can catch problems before they reach a business user and we hear complaints,” concluded Essuman."
https://www.getdbt.com/success-stories/cond%C3%A9-nast/,Condé Nast,These business users now have a much greater trust in the integrity of our data. None of this would have been possible without the solutions from dbt Labs and Databricks and the talent and hard work of our data engineering and data warehouse teams here at Condé Nast.”
https://www.getdbt.com/success-stories/aktify/,Aktify,"A typical use case for our customers is to look at the data points in our software and wonder when and why their customers and prospects are dropping off their chat funnel,” said Brandon Smith, Director of Data and Analytics, Aktify."
https://www.getdbt.com/success-stories/aktify/,Aktify,"I knew if we used SQL Server Integration Services (SSIS), everyone would be afraid to work with data in production because it would probably break something downstream,” Smith explained."
https://www.getdbt.com/success-stories/aktify/,Aktify,We would probably have people complaining that we broke their favorite dashboard—and fixing these kinds of problems can be difficult and time-consuming. We didn’t want complex dependencies at Aktify. We wanted to ‘democratize’ our data.”
https://www.getdbt.com/success-stories/aktify/,Aktify,"Data transformations are no longer a scary thing for Aktify,” Smith said."
https://www.getdbt.com/success-stories/aktify/,Aktify,"From day one, we can let new employees loose on our data without wrapping a lot of red tape around their hands. With Databricks and dbt, we’ve been able to onboard employees into working with our data systems in half a day, compared to two weeks previously, and if they have some SQL experience, they’re usually comfortable with the systems in about three days. This wasn’t possible with any other system I’ve used in my career.”"
https://www.getdbt.com/success-stories/aktify/,Aktify,"With everything I have going on in Databricks and dbt, the time travel features in Delta Lake enable me to stop after making changes and see what actually changed,” Smith explained."
