Case Study,Metric,URL
Condé Nast,30% Increase in self-service for data warehouse engineers,https://www.getdbt.com/success-stories/cond%C3%A9-nast/
Condé Nast,85 dbt models built on an evergreen platform across various domains,https://www.getdbt.com/success-stories/cond%C3%A9-nast/
Condé Nast,16 hours saved per data integration sprint project,https://www.getdbt.com/success-stories/cond%C3%A9-nast/
Aktify,80% Reduction in data engineering hours,https://www.getdbt.com/success-stories/aktify/
Aktify,95% Reduction in time to onboard new employees,https://www.getdbt.com/success-stories/aktify/
Aktify,6 Figure annual savings in IT headcount costs,https://www.getdbt.com/success-stories/aktify/
Andela,3 Months to build a usable prototype of the MyAndela search functionality with dbt and Looker,https://www.getdbt.com/success-stories/andela/
Andela,5 Months shaved off the product development timeline,https://www.getdbt.com/success-stories/andela/
Andela,1 New approach to product development,https://www.getdbt.com/success-stories/andela/
Blend,4 months reduced in time-to-value when compared to internal POC frameworks,https://www.getdbt.com/success-stories/blend/
Car Classic,10x Report load time improvement with Snowflake,https://www.getdbt.com/success-stories/car-classic/
Car Classic,8 hours/week Saved identifying data incidents,https://www.getdbt.com/success-stories/car-classic/
Deputy,+100 data team NPS rated by internal stakeholders,https://www.getdbt.com/success-stories/deputy/
Deputy,1 week to build new dashboards down from months,https://www.getdbt.com/success-stories/deputy/
Deputy,20% decrease in computing costs,https://www.getdbt.com/success-stories/deputy/
Firefly,20x Faster model development From 4 data models created in the 12 months prior to dbt to 15 models in two 2 with dbt,https://www.getdbt.com/success-stories/firefly/
Firefly,"50+ Business users served with ""how-to"" videos empowering all business users to optimize their data",https://www.getdbt.com/success-stories/firefly/
Firefly,100% Of models shipped with tests,https://www.getdbt.com/success-stories/firefly/
Jetblue,99.9% uptime of the data warehouse and pipelines,https://www.getdbt.com/success-stories/jetblue/
Jetblue,3 month migration of 26 data sources & 1200 models to dbt,https://www.getdbt.com/success-stories/jetblue/
Jetblue,$0 increase in total cost of ownership,https://www.getdbt.com/success-stories/jetblue/
Landbay,60% of the organization exploring data in Looker,https://www.getdbt.com/success-stories/landbay/
Landbay,2 mins Bank of England report creation,https://www.getdbt.com/success-stories/landbay/
Landbay,£60m loan portfolio moved within hours rather than weeks,https://www.getdbt.com/success-stories/landbay/
Loft,350+ models developed in dbt Cloud,https://www.getdbt.com/success-stories/loft/
Loft,80% reduction in model build resource consumption,https://www.getdbt.com/success-stories/loft/
Loft,2 month time to value from dbt Cloud,https://www.getdbt.com/success-stories/loft/
Maxmine,12.5 hour reduction in idle time per day for clients through reporting,https://www.getdbt.com/success-stories/maxmine/
Maxmine,"60,000 liters of fuel saved in six months",https://www.getdbt.com/success-stories/maxmine/
Maxmine,80% reduction in time-to-insight,https://www.getdbt.com/success-stories/maxmine/
Mcdonald’S Nordics,"€1.3bn in sales tracked across restaurants, drive-throughs, and delivery",https://www.getdbt.com/success-stories/mcdonald%E2%80%99s-nordics/
Mcdonald’S Nordics,4 markets with different data stacks centralized,https://www.getdbt.com/success-stories/mcdonald%E2%80%99s-nordics/
Mcdonald’S Nordics,5x faster delivery times for historical data,https://www.getdbt.com/success-stories/mcdonald%E2%80%99s-nordics/
